EDGE_ID,GridNo,Split_SequenceNum,CentroidX,CentroidY
0,59,0,83.22855684254755,26.09280207903653
0,59,1,83.22851540291907,26.092639942518467
0,59,2,83.22850948297214,26.092544253552557
0,59,3,83.22849172313137,26.09249109445279
0,59,4,83.22845916342327,26.092453885081483
1,59,0,83.2288735597081,26.092738254553282
1,59,1,83.22900675851393,26.092695712637187
1,59,2,83.22908075785051,26.092637228340166
1,59,3,83.2296757125166,26.092315546043807
2,59,0,83.2298917905794,26.092722205192292
2,59,1,83.23022034763379,26.09256268997973
3,59,0,83.2298118712959,26.09267171030761
3,59,1,83.2296757125166,26.092315546043807
3,59,2,83.22950403405574,26.091879644012053
3,59,3,83.22946555440072,26.09175737784747
3,59,4,83.22931163578063,26.09140653143339
4,59,0,83.22969051238391,26.09230757044482
4,59,1,83.23036834630695,26.091948667315005
4,59,2,83.23043938567007,26.091906131570838
4,59,3,83.23044826559045,26.091882208300703
5,59,0,83.2309011415303,26.092275553721294
5,59,1,83.23119121892968,26.092078829725228
6,59,0,83.23120897877045,26.09211072447972
6,59,1,83.23119121892968,26.092078829725228
6,59,2,83.2312533783724,26.092030978776446
7,59,0,83.23135401747015,26.09077903045606
7,59,1,83.23133329765591,26.090696633175448
8,59,0,83.22883212007962,26.09076864868731
8,59,1,83.22923763644405,26.090540016711188
9,59,0,83.23124153847856,26.090696642286385
9,59,1,83.23131553781514,26.09068600276622
9,59,2,83.23133329765591,26.090696633175448
9,59,3,83.23145761654136,26.09065940822737
10,59,0,83.23124153847856,26.090696642286385
10,59,1,83.23145761654136,26.09065940822737
0,99,0,83.12310329310345,26.053901588769612
0,99,1,83.12290504774536,26.05375007514451
0,106,0,83.21734572811673,26.053540082576383
0,106,1,83.21731909814325,26.053327431874486
0,106,2,83.21729542705572,26.053229080924854
0,106,3,83.21729838594166,26.053170601981833
1,106,0,83.21546683554378,26.052040895127995
1,106,1,83.21559406763927,26.0520302625929
1,106,2,83.21587812068967,26.0520302625929
1,106,3,83.21616809151195,26.052006339388935
2,106,0,83.21722737267906,26.051947860445914
2,106,1,83.21737827586207,26.05194520231214
2,106,2,83.21747887798409,26.05193191164327
2,106,3,83.2175291790451,26.051926595375722
2,106,4,83.21762386339523,26.05192393724195
2,106,5,83.21772446551725,26.05191064657308
3,106,0,83.2177422188329,26.051897355904213
3,106,1,83.2177925198939,26.05190267217176
3,106,2,83.21791383421751,26.05188938150289
3,106,3,83.21797892970824,26.051897355904213
4,106,0,83.21797892970824,26.051897355904213
4,106,1,83.21806473740054,26.05188140710157
4,106,2,83.21807361405837,26.051870774566474
5,106,0,83.21772446551725,26.05191064657308
5,106,1,83.2177422188329,26.051897355904213
0,66,0,83.16352890891001,26.080709867877786
0,66,1,83.16349339442847,26.080595568125517
0,66,2,83.16349043488835,26.080515824112304
0,66,3,83.16350523258899,26.08043608009909
0,11,0,83.22915482658703,26.130773501238647
0,11,1,83.22947161380226,26.130651227085053
1,11,0,83.230670668215,26.130677808422792
1,11,1,83.23078909334218,26.130635278282412
1,11,2,83.23103778610927,26.130510345995045
2,11,0,83.23110291992921,26.13047844838976
2,11,1,83.23132496704268,26.130377439306358
3,11,0,83.22873145675736,26.130433260115606
3,11,1,83.22901863769077,26.130340225433525
3,11,2,83.2292466060606,26.130255165152764
3,11,3,83.22928805485512,26.130249848885217
3,11,4,83.2293768737005,26.130207318744837
4,11,0,83.22964333023667,26.13032161849711
4,11,1,83.22943312563592,26.130156814203136
4,11,2,83.22938575558504,26.130132890999175
4,11,3,83.22927325171422,26.130039856317094
4,11,4,83.22916370847157,26.129970744838975
4,11,5,83.22906304711347,26.12988302642444
4,11,6,83.22887060628179,26.12975277786953
4,11,7,83.2288261968591,26.129707589595377
4,11,8,83.22879066932094,26.12969695706028
5,11,0,83.23095784914841,26.130268455821636
5,11,1,83.23088087281575,26.130069095788603
5,11,2,83.23086310904667,26.129992009909166
6,11,0,83.23004301504092,26.13015947233691
6,11,1,83.22997492059278,26.12998669364162
7,11,0,83.22982096792745,26.130050488852188
7,11,1,83.22997492059278,26.12998669364162
7,11,2,83.2299719599646,26.129949479768786
8,11,0,83.22863967728378,26.12957468290669
8,11,1,83.22843835456757,26.129425827415357
9,11,0,83.2297410309666,26.129510887696117
9,11,1,83.22969958217209,26.129425827415357
9,11,2,83.22968181840301,26.129354057803468
9,11,3,83.22965517274939,26.12931950206441
10,11,0,83.22853901592568,26.129380639141203
10,11,1,83.22856270095112,26.129292920726673
10,11,2,83.22867816545012,26.129183937241947
10,11,3,83.2287107323601,26.12917064657308
11,11,0,83.22935910993142,26.129330134599503
11,11,1,83.22968773965937,26.12915469777044
12,11,0,83.22843835456757,26.12910153509496
12,11,1,83.22852421278478,26.129061663088358
12,11,2,83.22885876376908,26.128862303055325
12,11,3,83.22890021256359,26.128846354252683
13,11,0,83.2299867631055,26.128981919075144
13,11,1,83.23029466843619,26.128814456647397
14,11,0,83.23103778610927,26.130510345995045
14,11,1,83.23110291992921,26.13047844838976
15,11,0,83.22879066932094,26.12969695706028
15,11,1,83.22863967728378,26.12957468290669
16,11,0,83.23004301504092,26.13015947233691
16,11,1,83.2299719599646,26.129949479768786
0,87,0,174.0,182.0
0,87,1,183.0,211.0
0,87,2,182.0,225.0
0,87,3,190.0,260.0
1,87,0,443.0,786.0
1,87,1,466.0,828.0
1,87,2,471.0,846.0
0,119,0,36.0,237.0
0,119,1,79.0,299.0
0,119,2,77.0,366.0
0,119,3,69.0,401.0
0,119,4,70.0,408.0
0,119,5,197.0,470.0
0,119,6,197.0,483.0
0,119,7,178.0,540.0
1,119,0,390.0,284.0
1,119,1,428.0,302.0
1,119,2,496.0,328.0
1,119,3,528.0,345.0
1,119,4,541.0,348.0
1,119,5,604.0,375.0
2,119,0,633.0,286.0
2,119,1,604.0,375.0
2,119,2,606.0,383.0
2,119,3,769.0,456.0
2,119,4,810.0,471.0
3,119,0,606.0,383.0
3,119,1,569.0,524.0
4,119,0,1020.0,437.0
4,119,1,1014.0,500.0
4,119,2,1011.0,507.0
4,119,3,941.0,491.0
5,119,0,178.0,540.0
5,119,1,253.0,583.0
5,119,2,421.0,667.0
6,119,0,545.0,613.0
6,119,1,511.0,718.0
7,119,0,442.0,680.0
7,119,1,511.0,718.0
8,119,0,757.0,869.0
8,119,1,777.0,871.0
8,119,2,822.0,874.0
8,119,3,843.0,874.0
9,119,0,236.0,908.0
9,119,1,253.0,925.0
9,119,2,405.0,996.0
9,119,3,458.0,1017.0
10,119,0,2.0,990.0
10,119,1,63.0,1021.0
11,119,0,421.0,667.0
11,119,1,442.6,680.8
12,119,0,757.0,869.0
12,119,1,843.0,874.0
13,119,0,569.0,524.0
13,119,1,545.0,613.0
0,109,0,176.0,25.0
0,109,1,296.0,78.0
1,109,0,4.0,154.0
1,109,1,88.0,195.0
1,109,2,96.0,196.0
1,109,3,110.0,206.0
2,109,0,268.0,472.0
2,109,1,242.0,520.0
2,109,2,233.0,555.0
3,109,0,295.0,708.0
3,109,1,350.0,772.0
3,109,2,369.0,786.0
3,109,3,385.0,793.0
0,105,0,83.20405822281168,26.054167402146987
0,105,1,83.20405822281168,26.053888298100745
1,105,0,83.20167353890363,26.052131271676302
1,105,1,83.2019043147657,26.05212329727498
2,105,0,83.20194869473917,26.052120639141204
2,105,1,83.20254042771884,26.052107348472337
2,105,2,83.20257593169762,26.052096715937243
2,105,3,83.20264398099027,26.052104690338563
2,105,4,83.20289546750664,26.052096715937243
3,105,0,83.20291617816092,26.052083425268375
3,105,1,83.20300197944297,26.052091399669695
3,105,2,83.20351678713529,26.052070134599504
3,105,3,83.20362625773652,26.052048869529315
3,105,4,83.20374756299735,26.052054185796862
4,105,0,83.20397538019452,26.05205152766309
4,105,1,83.20448131189214,26.05205950206441
4,105,2,83.20457303050398,26.052048869529315
4,105,3,83.20459965848806,26.052032920726674
4,105,4,83.20468841843501,26.05203823699422
5,105,0,83.20380969496021,26.052048869529315
5,105,1,83.20390733090186,26.052054185796862
5,105,2,83.20397538019452,26.05205152766309
6,105,0,83.20289546750664,26.052096715937243
6,105,1,83.20291824922636,26.05208156457473
7,105,0,83.2019043147657,26.05212329727498
7,105,1,83.20194869473917,26.052120639141204
8,105,0,83.20374756299735,26.052054185796862
8,105,1,83.20380969496021,26.052048869529315
0,42,0,83.16280401857584,26.102460727497935
0,42,1,83.16277737682441,26.102367683181942
1,42,0,83.16238071074746,26.102431484998625
1,42,1,83.16236590977444,26.10240490090834
1,42,2,83.16237183016364,26.102351732727772
2,42,0,83.1635499876161,26.102396925681255
2,42,1,83.16351446528084,26.102327807046517
3,42,0,83.16277737682441,26.102367683181942
3,42,1,83.1629165059708,26.102295906138178
3,42,2,83.16300531180893,26.10226134682081
3,42,3,83.16317108270677,26.102160327277733
3,42,4,83.16333093321539,26.10208057500688
3,42,5,83.16344046041574,26.102011456372143
4,42,0,83.16277737682441,26.102367683181942
4,42,1,83.16273889429455,26.102248054775668
4,42,2,83.16271521273772,26.102216153867328
5,42,0,83.16341973905351,26.102370341590973
5,42,1,83.16351446528084,26.102327807046517
6,42,0,83.16237183016364,26.102351732727772
6,42,1,83.16234814860681,26.102303881365263
7,42,0,83.16237183016364,26.102351732727772
7,42,1,83.16257608359133,26.102271980456923
8,42,0,83.16351446528084,26.102327807046517
8,42,1,83.16350854489164,26.102298564547205
8,42,2,83.16347006236178,26.102213495458297
9,42,0,83.16351446528084,26.102327807046517
9,42,1,83.16385488766032,26.102107159097166
10,42,0,83.16262640689959,26.102256030002753
10,42,1,83.16271521273772,26.102216153867328
11,42,0,83.16401177797434,26.10224273795761
11,42,1,83.16397921583369,26.10217893614093
11,42,2,83.16387856921716,26.102101842279108
12,42,0,83.16431667801857,26.101865243875586
12,42,1,83.16429003626713,26.10179080842279
13,42,0,83.1641272255639,26.101851951830444
13,42,1,83.16429003626713,26.10179080842279
13,42,2,83.16441732463511,26.101732323424166
14,42,0,83.16151337372844,26.10172434819708
14,42,1,83.16168506501548,26.101426606385907
15,42,0,83.16387264882795,26.101652571153316
15,42,1,83.16409466342326,26.101591427745664
16,42,0,83.16188339805396,26.101062404349022
16,42,1,83.16219717868199,26.100458945499586
17,42,0,83.16450021008403,26.100368559592624
17,42,1,83.16440252366209,26.100312733003026
17,42,2,83.1642604343211,26.100203738232864
18,42,0,83.16385488766032,26.102107159097166
18,42,1,83.16387856921716,26.102101842279108
19,42,0,83.16257608359133,26.102271980456923
19,42,1,83.16262640689959,26.102256030002753
20,42,0,83.16238071074746,26.102431484998625
20,42,1,83.16234814860681,26.102303881365263
21,42,0,83.1635499876161,26.102396925681255
21,42,1,83.16347006236178,26.102213495458297
0,85,0,243.0,126.0
0,85,1,240.0,146.0
0,85,2,210.0,249.0
0,85,3,204.0,258.0
0,85,4,199.0,290.0
0,85,5,184.0,344.0
0,85,6,179.0,396.0
0,85,7,185.0,420.0
0,85,8,186.0,439.0
0,85,9,155.0,546.0
1,85,0,291.0,409.0
1,85,1,375.0,456.0
2,85,0,775.0,424.0
2,85,1,752.0,517.0
2,85,2,753.0,524.0
2,85,3,764.0,531.0
3,85,0,389.0,432.0
3,85,1,375.0,456.0
4,85,0,393.0,470.0
4,85,1,404.0,477.0
4,85,2,488.0,503.0
5,85,0,1020.0,480.0
5,85,1,1007.0,500.0
5,85,2,997.0,524.0
5,85,3,975.0,533.0
6,85,0,814.0,520.0
6,85,1,803.0,548.0
7,85,0,975.0,533.0
7,85,1,958.0,577.0
7,85,2,952.0,614.0
8,85,0,773.0,533.0
8,85,1,803.0,548.0
8,85,2,798.0,565.0
8,85,3,750.0,751.0
8,85,4,739.0,762.0
8,85,5,733.0,779.0
8,85,6,695.0,931.0
8,85,7,692.0,960.0
9,85,0,822.0,565.0
9,85,1,863.0,580.0
9,85,2,949.0,617.0
10,85,0,146.0,576.0
10,85,1,128.0,612.0
11,85,0,146.0,576.0
11,85,1,183.0,594.0
12,85,0,952.0,614.0
12,85,1,1017.0,643.0
13,85,0,952.0,614.0
13,85,1,949.0,617.0
13,85,2,932.0,709.0
13,85,3,919.0,798.0
13,85,4,905.0,833.0
13,85,5,902.0,859.0
14,85,0,585.0,677.0
14,85,1,555.0,806.0
14,85,2,530.0,896.0
14,85,3,516.0,931.0
15,85,0,923.0,883.0
15,85,1,919.0,889.0
15,85,2,908.0,973.0
15,85,3,887.0,1020.0
16,85,0,259.0,910.0
16,85,1,238.0,981.0
17,85,0,692.0,960.0
17,85,1,683.0,1021.0
18,85,0,764.0,531.0
18,85,1,773.0,533.0
